Municipality,Year,Indy_percent,Unio_percent
Abella de la Conca,1980,68.42,6.58
Abella de la Conca,1984,95.71,0
Abella de la Conca,1988,89.36,2.13
Abella de la Conca,1992,81.67,10
Abella de la Conca,1995,80,15.71
Abella de la Conca,1999,74.7,21.69
Abella de la Conca,2003,84.42,15.58
Abella de la Conca,2006,73.24,26.76
Abella de la Conca,2010,75.9,18.07
Abella de la Conca,2012,83.95,13.58
Abella de la Conca,2015,70.09,26.17
Abrera,1980,30.58,49.84
Abrera,1984,40.05,55.13
Abrera,1988,34.04,52.05
Abrera,1992,40.42,53.13
Abrera,1995,40.41,58.51
Abrera,1999,31.57,63.75
Abrera,2003,32.49,65.66
Abrera,2006,32.84,63.56
Abrera,2010,35.66,52.96
Abrera,2012,30.3,59.52
Abrera,2015,30.52,65.71
Àger,1980,48.3,23.3
Àger,1984,82.53,15.59
Àger,1988,75.23,18.35
Àger,1992,69.71,28.24
Àger,1995,77.22,22.78
Àger,1999,67.37,31.42
Àger,2003,74.31,24.46
Àger,2006,67.01,32.29
Àger,2010,76.9,14.14
Àger,2012,82.74,16.07
Àger,2015,80,16.96
Agramunt,1980,52.28,15.21
Agramunt,1984,80.5,17.79
Agramunt,1988,75.4,19.01
Agramunt,1992,75.01,21.21
Agramunt,1995,73.61,25.87
Agramunt,1999,71.44,27.14
Agramunt,2003,69.82,28.8
Agramunt,2006,67.39,31.5
Agramunt,2010,59.32,25.94
Agramunt,2012,73.33,23.74
Agramunt,2015,72.29,24.26
Aguilar de Segarra,1980,77.06,8.26
Aguilar de Segarra,1984,95.07,4.23
Aguilar de Segarra,1988,93.08,6.92
Aguilar de Segarra,1992,90.98,8.2
Aguilar de Segarra,1995,93.02,6.98
Aguilar de Segarra,1999,84.68,14.52
Aguilar de Segarra,2003,75.4,21.43
Aguilar de Segarra,2006,69.23,26.92
Aguilar de Segarra,2010,64.58,15.28
Aguilar de Segarra,2012,83.77,12.34
Aguilar de Segarra,2015,85.28,7.98
Agullana,1980,53.33,26.94
Agullana,1984,72.81,24.77
Agullana,1988,67.41,26.46
Agullana,1992,81.09,16.05
Agullana,1995,79.48,20.28
Agullana,1999,76.51,22.03
Agullana,2003,76.94,22.17
Agullana,2006,68.94,26.77
Agullana,2010,69.08,17.55
Agullana,2012,82.64,14.58
Agullana,2015,79.41,18.49
Aiguafreda,1980,55.81,28.97
Aiguafreda,1984,78.24,19.25
Aiguafreda,1988,77.63,19.67
Aiguafreda,1992,76.92,20.74
Aiguafreda,1995,74.07,25.37
Aiguafreda,1999,70.43,28.03
Aiguafreda,2003,67.39,32.03
Aiguafreda,2006,62.26,35.35
Aiguafreda,2010,62.56,23.94
Aiguafreda,2012,72.34,22.28
Aiguafreda,2015,74.19,21.94
Aiguamúrcia,1980,45.05,42.03
Aiguamúrcia,1984,62.39,33.9
Aiguamúrcia,1988,61.86,33.33
Aiguamúrcia,1992,65.33,33.13
Aiguamúrcia,1995,61.03,38.97
Aiguamúrcia,1999,56.23,37.93
Aiguamúrcia,2003,58.1,41.44
Aiguamúrcia,2006,48.54,49.76
Aiguamúrcia,2010,50.85,36.08
Aiguamúrcia,2012,63.23,31.92
Aiguamúrcia,2015,65.44,32.9
Aiguaviva,1980,58.96,8.67
